"Start Year","Genre","Movies"
1896,"Documentary",1
1897,"Documentary",1
1897,"News",1
1897,"Sport",1
1898,"Documentary",1
1898,"Sci-Fi",1
1899,"Documentary",2
1899,"News",2
1899,"Sport",2
1900,"Documentary",2
1900,"News",1
1901,"Documentary",1
1901,"Sport",1
1902,"Documentary",1
1903,"Documentary",1
1904,"Documentary",1
1905,"Documentary",1
1905,"Fantasy",1
1905,"Music",1
1906,"Action",1
1906,"Adventure",1
1906,"Biography",1
1906,"Comedy",1
1906,"Musical",1
1906,"News",1
1906,"Sport",1
1907,"Drama",3
1908,"Adventure",1
1908,"Drama",1
1908,"Fantasy",1
1908,"Sport",1
1909,"Comedy",3
1909,"Documentary",1
1909,"Drama",2
1909,"History",1
1909,"Musical",1
1909,"Sport",1
1909,"War",1
1910,"Adventure",1
1910,"Biography",1
1910,"Comedy",1
1910,"Crime",1
1910,"Documentary",2
1910,"Drama",8
1910,"Family",1
1910,"Fantasy",2
1910,"History",3
1910,"Horror",1
1910,"Romance",1
1910,"Sport",2
1911,"Action",1
1911,"Adventure",2
1911,"Biography",1
1911,"Crime",1
1911,"Drama",18
1911,"Fantasy",1
1911,"History",2
1911,"Romance",2
1911,"Sci-Fi",1
1911,"Thriller",1
1911,"War",3
1911,"Western",1
1912,"Action",1
1912,"Adventure",4
1912,"Animation",1
1912,"Biography",1
1912,"Crime",2
1912,"Documentary",3
1912,"Drama",14
1912,"Family",1
1912,"Fantasy",1
1912,"History",2
1912,"Horror",1
1912,"Mystery",1
1912,"Romance",1
1912,"Thriller",1
1912,"War",2
1913,"Action",4
1913,"Adventure",8
1913,"Biography",3
1913,"Comedy",5
1913,"Crime",9
1913,"Documentary",3
1913,"Drama",28
1913,"Fantasy",1
1913,"History",4
1913,"Music",1
1913,"Mystery",2
1913,"Romance",3
1913,"Sci-Fi",1
1913,"Thriller",2
1913,"Western",1
1914,"Action",4
1914,"Adult",1
1914,"Adventure",29
1914,"Biography",3
1914,"Comedy",10
1914,"Crime",3
1914,"Documentary",4
1914,"Drama",50
1914,"Family",1
1914,"History",8
1914,"Horror",2
1914,"Mystery",4
1914,"Romance",4
1914,"Thriller",1
1914,"War",3
1914,"Western",3
1915,"Action",9
1915,"Adventure",39
1915,"Biography",2
1915,"Comedy",16
1915,"Crime",12
1915,"Documentary",7
1915,"Drama",61
1915,"Fantasy",1
1915,"History",4
1915,"Horror",4
1915,"Mystery",5
1915,"Romance",9
1915,"Sci-Fi",1
1915,"Sport",1
1915,"Thriller",4
1915,"War",6
1915,"Western",3
1916,"Action",17
1916,"Adventure",22
1916,"Biography",3
1916,"Comedy",24
1916,"Crime",17
1916,"Documentary",4
1916,"Drama",96
1916,"Fantasy",2
1916,"History",7
1916,"Horror",8
1916,"Mystery",10
1916,"Romance",18
1916,"Sci-Fi",4
1916,"Sport",2
1916,"Thriller",2
1916,"War",3
1916,"Western",6
1917,"Action",11
1917,"Adventure",38
1917,"Animation",1
1917,"Biography",3
1917,"Comedy",31
1917,"Crime",7
1917,"Documentary",3
1917,"Drama",86
1917,"Family",3
1917,"Fantasy",4
